Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
74.51.5231,False,True,244111,Greek and Roman Art,"Roundel, disk","Roundel, disk",,,,,,,,,,,,,,,,-7000,330,Bone ?,Diameter: 1 5/16 x 1/4 in. (3.4 x 0.6 cm),"The Cesnola Collection, Purchased by subscription, 1874–76",,,,,,,,,,,,"Miscellaneous-Bone, Ivory",,http://www.metmuseum.org/art/collection/search/244111,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
09.68.135a,False,True,218075,European Sculpture and Decorative Arts,Cuff ,Cuff (one of a pair),"Italian, Venice",,,,,,,,,,,,,,early 17th century,1600,1615,Needle lace,L. 10 x W. 3 inches (25.4 x 7.6 cm),"Purchase by subscription, 1909",,,,,,,,,,,,Textiles-Laces,,http://www.metmuseum.org/art/collection/search/218075,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
22.82.2(1),False,True,337827,Drawings and Prints,Print,"(""Leda"") Design for a Plate: Shame on Those Who Evil Think (Honi Soit Qui Mal y Pense) ; cover illustration for the ""Volpini Suite"" entitled Lithographic Drawings (Dessins lithographiques)",,,,,"Dessins lithographiques: suite of ten lithographs on zinc, sometimes called ""the Volpini Suite"" because they were shown "" sur demande"" ""dans le local de M. Volpini au Champ-de-Mars"" during the Exposition Universelle of 1889 (probably beginning June 10, the opening at Volpini's of L'Exposition de Peintures du Groupe Impressionniste et Synthétiste""",Artist,,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands",,"Gauguin, Paul",French,1848      ,1903      ,1889,1889,1889,"Zincograph, colored by hand with watercolor and gouache on chrome yellow wove paper; mounted on marbled paper applied to millboard (cover of print portfolio, trimmed)","Sheet: 11 15/16 x 10 3/16 in. (30.4 x 25.9 cm)
","Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/337827,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2001.158.13,False,False,491940,Modern and Contemporary Art,Salad fork,"""Canu Muffin 1971"" Salad Fork",,,,,,Designer|Manufacturer,,Marion Weeber|EKCO Products International Company,"American, Albany, New York 1905–2000 New York",,"Weeber, Marion|EKCO Products International Company",American|American,1905      ,2000      ,1971,1971,1971,"Stainless steel, teak",L. 6-7/8 in. (17.5 cm),"Bequest of Marion Weeber Welsh, 2000",,,,,,,,,,,,Metalwork,,http://www.metmuseum.org/art/collection/search/491940,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.206.113.22,False,False,644027,Drawings and Prints,Print,"Squatter's Shanty, New York City, from the Habitations of Man series (N113) issued by W. Duke, Sons & Co. to promote Honest Long Cut Smoking and Chewing Tobacco",,,,,,Publisher|Publisher|Artist,"Issued by|, a branch of the|Original lithograph by","W. Duke, Sons & Co.|American Tobacco Company|The Giles Company","New York and Durham, N.C.|New York, NY",,"Duke, W. Sons & Co.|American Tobacco Company|The Giles Company",,1870      |1800      ,1920      |1900      ,1890,1890,1890,Commercial color lithograph,Sheet: 2 1/2 × 4 1/8 in. (6.4 × 10.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/644027,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2014.475.9,False,True,670135,Drawings and Prints,Drawing,History of Germany,,,,,,Artist,,Carl Heinrich Hermann,"German, Dresden 1802–1880 Berlin",,"Hermann, Carl Heinrich",German,1802      ,1880      ,1820–50,1820,1850,Pen and black ink,each: 20 1/2 × 29 1/8 in. (52 × 74 cm),"Harry G. Sperling Fund, 2014",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/670135,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"2008.190.17a, b",False,False,141769,Costume Institute,Clip earrings,Clip earrings,American,,,,,Designer,,Kenneth Jay Lane,"American, Detroit, Michigan 1932–2017 New York",,"Lane, Kenneth Jay",American,1932      ,2017      ,ca. 1980,1975,1985,"glass, metal",,"Gift of Muriel Kallis Newman, 2008",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/141769,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.206.126.92,False,False,712312,Drawings and Prints,Print,"Milan I, King of Servia, from the Rulers, Flags, and Coats of Arms series (N126-2) issued by W. Duke, Sons & Co.",,,,,,Publisher,Issued by,"W. Duke, Sons & Co.","New York and Durham, N.C.",,"Duke, W. Sons & Co.",,1870      ,1920      ,1888,1888,1888,Commercial color lithograph,"Sheet: 2 3/4 × 4 1/4 in. (7 × 10.8 cm)
Sheet (folded): 2 3/4 × 1 7/16 in. (7 × 3.6 cm)","The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/712312,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"C.I.41.133.2a, b",False,True,107723,Costume Institute,Evening dress,Evening dress,American,,,,,,,,,,,,,,late 1880s,1885,1889,silk,,"Gift of Mrs. Albert Shiels, 1941",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/107723,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
14.25.404,False,True,27024,Arms and Armor,Spontoon,Spontoon,French,,,,,,,,,,,,,,18th century,1701,1800,"Steel, wood (ash)",L. 72 1/8 in. (183.5 cm); L. of head 11 1/8 in. (28.6 cm); W. 2 1/4 in. (5.7 cm); Wt. 2 lbs. (907.2 g),"Gift of William H. Riggs, 1913",,,,,,,,,,,,Shafted Weapons,,http://www.metmuseum.org/art/collection/search/27024,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1974.161.12,False,True,452618,Islamic Art,Bowl,Bowl,,,,,,,,,,,,,,,14th century,1300,1399,Stonepaste; painted under transparent glaze,H. 3 13/16 in. (9.7 cm); Diam. 8 3/8 in. (21.3 cm),"The Milton A. Rauh and Florence L. Goldmark Collection, Bequest of Florence L. Goldmark, 1974",Attributed to,,,,Syria,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/452618,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
74.51.5553,False,True,244432,Greek and Roman Art,Fibula,Fibula,Cypriot,,,,,,,,,,,,,,,-3900,100,Bronze,Other: 2 3/8in. (6cm),"The Cesnola Collection, Purchased by subscription, 1874–76",,,,,,,,,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/244432,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
48.101.1305,False,True,740774,Islamic Art,Fragment,Fragment,,,,,,,,,,,,,,,probably 8th–12th century,800,1300,Stucco; carved,L 6 x W 3 x H 1.5,"Rogers Fund, 1948",Excavated in,Nishapur,,,Iran,,,,,,,Stucco,,http://www.metmuseum.org/art/collection/search/740774,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1975.372.4,False,False,310006,"Arts of Africa, Oceania, and the Americas",Bark painting,Painting from a Ceremonial House Ceiling,"Kwoma people, Sunggwei Wanyi clan",,,,,Artist|Artist,Workshop of,"Yindaka, Sunggwei Wanyi|Artists of Mariwai Village",,,"Yindaka, Sunggwei Wanyi|Artists of Mariwai Village",,1930      ,2030      ,1973,1973,1973,"Sago palm petiole, paint",H. 60 1/2 x W. 29 3/4 in. (153.7 x 75.6 cm),"Purchase, Rogers Fund and Mr. and Mrs. David Nash and Anonymous Gifts, 1975",,,,,Papua New Guinea,,,,,,Upper Sepik River,Bark-Paintings,,http://www.metmuseum.org/art/collection/search/310006,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.205.101.4,False,False,426981,Drawings and Prints,Print,"Canadian, from the Breeds of Horses series (N101) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",,,,,,Publisher|Publisher|Lithographer,Issued by|Issued by,"W. Duke, Sons & Co.|American Tobacco Company|George S. Harris & Sons","New York and Durham, N.C.|American, Philadelphia",", a branch of the American Tobacco Company","Duke, W. Sons & Co.|American Tobacco Company|Harris, George S., & Sons",American|American,1870      ,1920      ,1892,1892,1892,Commercial color lithograph,Sheet: 2 1/2 × 4 1/8 in. (6.4 × 10.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/426981,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"2009.300.887a, b",False,False,159466,Costume Institute,Evening trench coat,Evening trench coat,American,,,,,Manufacturer|Designer,,Traina-Norell|Norman Norell,"American, founded 1941|American, Noblesville, Indiana 1900–1972 New York",,"Traina-Norell|Norell, Norman",American|American,1941      |1900      ,1960      |1972      ,ca. 1955,1953,1957,silk,,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Frances Carpenter, 1965",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/159466,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
92.10.19,False,False,7716,American Decorative Arts,Cable,Specimen of the Atlantic Cable,,,,,,,,,,,,,,,1856–65,1856,1865,Metal,Dimensions unavailable,"Gift of Cyrus W. Field, 1892",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/7716,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
20.57.159,False,True,220362,European Sculpture and Decorative Arts,Piece,Piece,French,,,,,,,,,,,,,,ca. 1750,1745,1755,Silk,8 1/2 x 30 inches (21.6 x 76.2 cm),"Rogers Fund, 1920",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/220362,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
31.8.42.41a-k,False,True,479181,Medieval Art,Fragment,Glass Fragments,Coptic,,,,,,,,,,,,,,4th century,300,399,Glass (green),Storage (petri dish diam.): 2 3/16 in. (5.5 cm),"Rogers Fund, 1931",Made in,,,Kharga Oasis,Byzantine Egypt,,,,,,,Glass-Vessels,,http://www.metmuseum.org/art/collection/search/479181,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
33.65.406,False,True,268219,Photographs,Photograph,Bridge Across Tennessee River at Chattanooga,,,,,,Artist|Former Attribution,Formerly attributed to,George N. Barnard|Mathew B. Brady,"American, 1819–1902|American, born Ireland, 1823?–1896 New York",,"Barnard, George N.|Brady, Mathew B.",American,1819      |1823      ,1902      |1896      ,ca. 1864,1862,1866,Albumen silver print from glass negative,8.5 x 8.9 cm (3 3/8 x 3 1/2 in. ),"Harris Brisbane Dick Fund, 1933",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/268219,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
38.152.2,False,True,198298,European Sculpture and Decorative Arts,Plaquette,Bacchanalian Feast,Italian,,,,,Artist|Artist,,Guglielmo della Porta|Jacob Cornelisz Cobaert,"Italian, Porlezza, near Lake Lugano ca. 1500–1577 Rome|Flemish-born, died Rome 1615, active Italy",,"Porta, Guglielmo della|Cobaert Jacob Cornelisz",Italian,1500      |1515      ,1577      |1615      ,1550–60,1550,1560,"Bronze, red brown patina",6 1/2 × 5 1/8 in. (16.5 × 13 cm),"Rogers Fund, 1938",,,,,,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/198298,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
17.190.1713,False,True,194227,European Sculpture and Decorative Arts,Reliquary cross and chain,Reliquary cross and chain,Spanish,,,,,,,,,,,,,,early 17th century,1600,1620,"Gold, diamonds, enamel","Overall (with ring): 3 15/16 × 1 13/16 × 3/8 in. (10 × 4.6 × 1 cm);
Height (without ring): 3 11/16 in. (9.4 cm);
Length (chain): 24 1/2 in. (62.2 cm)","Gift of J. Pierpont Morgan, 1917",,,,,,,,,,,,Metalwork-Gold and Platinum|Jewelry,,http://www.metmuseum.org/art/collection/search/194227,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2003.564.5,False,False,285499,Photographs,Negative,"[Brooklyn Bridge, New York City]",,,,,,Artist,,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",,"Evans, Walker",American,1903      ,1975      ,1929,1929,1929,Film negative,2 1/2 x 4 1/4 in.,"Gift of Arnold Crane, 2003",,,,,,,,,,,,Negatives,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/285499,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1974.356.451,False,True,209380,European Sculpture and Decorative Arts,Saucer,Saucer (part of a service),"German, Meissen",,,,,Factory|Factory director,,Meissen Manufactory|Marcolini Period,"German, 1710–present|1774–1814",,Meissen Manufactory|MARCOLINI CAMILLO,German,1710      |1736      ,9999      |1836      ,ca. 1780–85,1775,1790,Hard-paste porcelain,Diameter: 5 1/16 in. (12.9 cm),"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",,,,,,,,,,,,Ceramics-Porcelain,,http://www.metmuseum.org/art/collection/search/209380,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1996.506,False,True,337876,Drawings and Prints,Drawing,"The Fountain of Rome at the Villa d'Este, Tivoli",,,,,,Artist,,Charles Joseph Natoire,"French, Nîmes 1700–1777 Castel Gandolfo",,"Natoire, Charles Joseph",French,1700      ,1777      ,1765,1765,1765,"Pen and brown ink, brush and brown and gray wash, watercolor, heightened with white, over black and red chalk, on faded blue paper",11 7/8 x 18 3/4 in.  (30.2 x 47.6 cm),"Anonymous Gift, in honor of a curator, 1996",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/337876,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
X.21.90,False,True,256654,Greek and Roman Art,Ladle,Bronze kyathos (ladle) with duck-head terminal,Etruscan,Late Classical,,,,,,,,,,,,,ca. 400 B.C.,-400,-400,Bronze,H.: 17 7/8 x 2 in. (45.4 x 5.1 cm),Museum Accession,,,,,,,,,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/256654,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1983.393,False,False,482723,Modern and Contemporary Art,Sculpture,Bible with Black Page,,,,,,Artist,,Takako Araki,"Japanese, 1921–2004",,"Araki, Takako",Japanese,1921      ,2004      ,1982,1982,1982,Porcelain with decal overglaze,"H. 10, W. 8, D. 6 inches
(25.4 x 20.3 x 15.2 cm.)
","Purchase, Lita Annenberg Hazen Charitable Trust Gift, 1983",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/482723,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
32.75.431,False,True,23502,Arms and Armor,Arrowhead (Yanonē),Arrowhead (Yanonē),Japanese,,,,,,,,,,,,,,18th century,1701,1800,Steel,L. 8 3/4 in. (22.2 cm); L. of head 2 3/4 in. (7 cm); W. 1 3/4 in. (4.5 cm); Wt. 1.4 oz. (39.7 g),"The Collection of Giovanni P. Morosini, presented by his daughter Giulia, 1932",,,,,,,,,,,,Archery Equipment-Arrowheads,,http://www.metmuseum.org/art/collection/search/23502,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
66.551.17,False,True,392376,Drawings and Prints,Drawing,Design for a Firescreen (?),,,,,,Artist,,"Anonymous, French, 19th century",,,"Anonymous, French, 19th century",French,1800      ,1900      ,19th century,1800,1899,Watercolor,sheet: 7 9/16 x 12 3/8 in. (19.2 x 31.4 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/392376,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1982.525.5,False,False,104879,Costume Institute,Stickpin,Stickpin,American or European,,,,,,,,,,,,,,late 19th–early 20th century,1875,1925,"gold, aquamarine",,"Gift of Douglas Huntly Gordon in memory of Douglas Huntley Gordon 1866-1918 of Baltimore and Rappahnnock County, VA, 1982",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/104879,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
23.211.7,False,False,447714,Islamic Art,Fragment,Fragment,,,,,,,,,,,,,,,18th–19th century,1700,1899,"Cotton, wool","H. 11 1/4 in. (28.6 cm)
W. 9 5/8 in. (24.4 cm)","Rogers Fund, 1923",Attributed to,Kuba,,,Azerbaijan,,,,,,,Textiles-Rugs,,http://www.metmuseum.org/art/collection/search/447714,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
D.1994.262.57,False,False,281289,Photographs,Polaroid,"[Virginia Hubbard, Destin, Florida]",,,,,,Artist,,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",,"Evans, Walker",American,1903      ,1975      ,1973–74,1973,1974,Instant color print,7.9 x 7.9 cm (3 1/8 x 3 1/8 in.),"Walker Evans Archive, 1994",,,,,,,,,,,,Photographs,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/281289,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
23.112.1542,False,True,379609,Drawings and Prints,Drawing,"Design for Vis-à-vis, no. 959",,,,,,Manufacturer,,Brewster & Co.,"American, New York",,Brewster & Co.,American,,,1850–70,1850,1870,Watercolor and ink,6 x 9 1/8 in. (15.2 x 23.2 cm),"Gift of William Brewster, 1923",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/379609,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2011.566.812,False,False,777615,Drawings and Prints,Baseball card,"Ed Bouchee, First Base, Chicago Cubs, from the ""1961 Topps Regular Issue"" series (R414-20), issued by Topps Chewing Gum Company",,,,,,Publisher,Issued by,Topps Chewing Gum Company,"American, Brooklyn",,Topps Chewing Gum Company,,,,1961,1961,1961,Commercial color lithograph,Sheet: 3 1/2 × 2 1/2 in. (8.9 × 6.3 cm),"Anonymous Gift, 2011",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/777615,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
59.533.1671(36),False,True,744513,Drawings and Prints,Print,"Philanthropic Society, The Chapel",,,,,"Microcosm of London, pl. 61",Artist|Artist|Publisher|Artist,Aquatint by|Designed and etched by|Designed and etched by,"John Bluck|Thomas Rowlandson|Rudolph Ackermann, London|Auguste Charles Pugin","British, 1791–1832|British, London 1757–1827 London|active 1794–1829|British (born France), Paris 1768/69–1832 London",,"Bluck, John|Rowlandson, Thomas|Ackermann, Rudolph|Pugin, Auguste Charles",,1791      |1757      |1764      |1768      ,1832      |1827      |1834      |1832      ,"April 1, 1809",1809,1809,Hand-colored etching and aquatint,"Sheet: 9 13/16 × 11 9/16 in. (25 × 29.4 cm)
Plate: 9 7/16 × 11 1/4 in. (23.9 × 28.5 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/744513,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
40.181.9,False,True,450366,Islamic Art,Corner tile,Corner Tile,,,,,,,,,,,,,,,early 14th century,1300,1325,"Stonepaste; modeled, inglaze painted in blue and luster-painted on opaque white glaze","H. 17 1/8 in.  (43.5 cm)
W. 9 1/2 in.  (24.1 cm)
D: 5 1/8 in.  (13 cm)
Wt. 10 lbs. (4.5 kg)","H.O. Havemeyer Collection, Gift of Horace Havemeyer, 1940",Attributed to,probably Kashan,,,Iran,,,,,,,Ceramics-Tiles,,http://www.metmuseum.org/art/collection/search/450366,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"21.175.388a, b",False,True,41635,Asian Art,Snuff bottle,,China,"Qing dynasty (1644–1911), Qianlong period (1736–95)",,,,,,,,,,,,,,1736,1795,Porcelain with amber stopper,H. 2 7/8 in. (7.3 cm),"Bequest of Edmund C. Converse, 1921",,,,,,,,,,,,Snuff Bottles,,http://www.metmuseum.org/art/collection/search/41635,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1978.302.14,False,False,8845,American Decorative Arts,Trivet,Trivet,,,,,,,,,,,,,,,1800–1900,1800,1900,Iron,8 3/4 × 4 1/2 × 1 3/4 in. (22.2 × 11.4 × 4.4 cm),"Gift of Mrs. James A. Cole, 1978",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/8845,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2010.409,False,False,294419,Photographs,Photograph,"[Symbionese Liberation Army Leader Donald DeFreeze During Hibernia Bank Robbery, San Francisco]",,,,,,Artist,,Unknown,American,,Unknown,,,,1974,1974,1974,Gelatin silver print,Image: 21.1 x 15.1 cm (8 5/16 x 5 15/16 in.),"Twentieth-Century Photography Fund, 2010",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/294419,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1994.252.197.1–.12,False,False,284582,Photographs,Negative,"[12 Views of Shack with Coca-Cola Sign, from Yale School of Art Field Trip to Eastern Shore of Virginia]",,,,,,Artist,,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",,"Evans, Walker",American,1903      ,1975      ,spring 1972,1972,1972,Film negative,2 1/4 x 2 1/4 in.,"Walker Evans Archive, 1994",,,,,,,,,,,,Negatives,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/284582,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
43.120.541,False,False,28349,Arms and Armor,Knife handle (Kozuka),Knife Handle (Kozuka),Japanese,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Copper-silver alloy (shibuichi), gold, silver",L. 3 13/16 in. (9.7 cm); W. 9/16 in. (1.4 cm); thickness 3/16 in. (0.5 cm); Wt. 1.1 oz. (31.2 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Kozuka,,http://www.metmuseum.org/art/collection/search/28349,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
53.668.136,False,True,387326,Drawings and Prints,Drawing,Design for a Stage Set,,,,,,Artist,,Eugène Cicéri,"French, Paris 1813–1890 Fontainebleau",,"Cicéri, Eugène",French,1813      ,1890      ,1830–90,1830,1890,,,"Gift of Mrs. Henry T. Curtis, 1953",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/387326,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
26.199.190,False,True,252757,Greek and Roman Art,Vase fragment,Vase fragment,"Greek, Lydian",,,,,,,,,,,,,,,-7000,-30,Terracotta,Overall: 2 3/4 x 15/16in. (7 x 2.3cm),"Gift of The American Society for the Excavation of Sardis, 1926",,,,,,,,,,,,Vases,,http://www.metmuseum.org/art/collection/search/252757,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
17.190.1716,False,True,447008,Islamic Art,Incense burner,Incense Burner,,,,,,,,,,,,,,,late 13th–early 14th century,1275,1325,"Brass; cast with handle made of separately hammered sheet, pierced, inlaid with silver and gold","H. 8 3/8 in.  (21.3 cm)
L. 9 1/2 in.  (24.1 cm)
Diam. 4 in.  (10.2 cm)","Gift of J. Pierpont Morgan, 1917",Attributed to,Damascus,,,Syria,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/447008,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
17.50.17-371(91),False,False,420364,Drawings and Prints,Print,"S. Gabriel, archange (St. Gabriel, Archangel), March 18th, from Les Images De Tous Les Saincts et Saintes de L'Année (Images of All of the Saints and Religious Events of the Year)",,,,,Les Images De Tous Les Saincts et Saintes de L'Année,Artist|Publisher,,Jacques Callot|Israël Henriet,"French, Nancy 1592–1635 Nancy|French, Nancy ca. 1590–1661 Paris",,"Callot, Jacques|Henriet, Israël",French|French,1592      |1590      ,1635      |1661      ,1636,1636,1636,Etching; second state of two (Lieure),Sheet: 2 9/16 x 1 15/16 in. (6.5 x 5 cm),"Purchase, Joseph Pulitzer Bequest, 1917",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/420364,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
49.55.87,False,False,367732,Drawings and Prints,Print,"Grain Elevator, Weehawken",,,,,,Artist|Publisher,,John Marin|Alfred Stieglitz,"American, Rutherford, New Jersey 1870–1953 Cape Split, Maine|American, Hoboken, New Jersey 1864–1946 New York",,"Marin, John|Stieglitz, Alfred",American|American,1870      |1864      ,1953      |1946      ,1915,1915,1915,Etching,"plate: 11 1/4 x 9 1/16 in. (28.5 x 23 cm)
sheet: 16 3/4 x 13 13/16 in. (42.5 x 35.1 cm)","Alfred Stieglitz Collection, 1949",,,,,,,,,,,,Prints,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/367732,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1987.394.78,False,True,315140,"Arts of Africa, Oceania, and the Americas",Spatula,Spatula,Moche,,,,,,,,,,,,,,2nd–7th century,100,700,Silver,H. 7-3/8 in. (18.7 cm),"Bequest of Jane Costello Goldberg, from the Collection of Arnold I. Goldberg, 1986",,,,,Peru,,,,,,,Metal-Implements,,http://www.metmuseum.org/art/collection/search/315140,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
13.173.230,False,False,192570,European Sculpture and Decorative Arts,Watch cock,Watch cock,British or French,,,,,,,,,,,,,,17th–18th century,1600,1799,Gilded brass,,"Rogers Fund, 1913",,,,,,,,,,,,Horology,,http://www.metmuseum.org/art/collection/search/192570,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1993.16.1,False,True,316764,"Arts of Africa, Oceania, and the Americas",Vessel,Female Figure Vessel,Nayarit,,,,,,,,,,,,,,1200–1500,1200,1500,Ceramic,"H. 9 5/8 x W. 8 1/4 in. (24.4 x 21 cm)
","Purchase, Louis V. Bell Fund, 1993",,El Chanal area,,,Mexico,,,,,,,Ceramics-Containers,,http://www.metmuseum.org/art/collection/search/316764,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
X.91,False,True,256756,Greek and Roman Art,Buckle,Buckle,,,,,,,,,,,,,,,,-7000,330,Bronze,length     4.09 cm.,Museum Accession,,,,,,,,,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/256756,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
